2024-05-01T00:00:00|S1|TEMP|35.5|Sector_A
2024-05-01T00:01:00|S12|VIB|26.7|Sector_A
2024-05-01T00:02:00|S14|VIB|21.9|Sector_A
2024-05-01T00:03:00|S2|TEMP|40.4|Sector_A
2024-05-01T00:04:00|S11|VIB|3.1|Sector_A
2024-05-01T00:05:00|S15|TEMP|51.3|Sector_A
2024-05-01T00:06:00|S11|VIB|17.5|Sector_A
2024-05-01T00:07:00|S10|TEMP|50.5|Sector_A
2024-05-01T00:08:00|S5|TEMP|60.0|Sector_A
2024-05-01T00:09:00|S11|VIB|18.4|Sector_A
2024-05-01T00:10:00|S15|TEMP|56.1|Sector_A
2024-05-01T00:11:00|S17|VIB|21.4|Sector_A
2024-05-01T00:12:00|S9|TEMP|26.2|Sector_A
2024-05-01T00:13:00|S6|TEMP|8.0|Sector_A
2024-05-01T00:14:00|S11|TEMP|32.9|Sector_A
2024-05-01T00:15:00|S8|VIB|39.0|Sector_A
2024-05-01T00:16:00|S16|TEMP|54.2|Sector_A
2024-05-01T00:17:00|S13|VIB|1.3|Sector_A
2024-05-01T00:18:00|S8|TEMP|30.0|Sector_A
2024-05-01T00:19:00|S14|VIB|33.1|Sector_A
2024-05-01T00:20:00|S13|VIB|39.3|Sector_A
2024-05-01T00:21:00|S15|VIB|28.1|Sector_A
2024-05-01T00:22:00|S10|TEMP|-7.3|Sector_A
2024-05-01T00:23:00|S2|TEMP|-4.0|Sector_A
2024-05-01T00:24:00|S9|VIB|2.9|Sector_A
2024-05-01T00:25:00|S1|VIB|43.4|Sector_A
2024-05-01T00:26:00|S17|VIB|24.1|Sector_A
2024-05-01T00:27:00|S17|VIB|27.6|Sector_A
2024-05-01T00:28:00|S3|TEMP|5.6|Sector_A
2024-05-01T00:29:00|S6|VIB|37.3|Sector_A
2024-05-01T00:30:00|S15|VIB|0.4|Sector_A
2024-05-01T00:31:00|S5|TEMP|33.2|Sector_A
2024-05-01T00:32:00|S16|VIB|11.3|Sector_A
2024-05-01T00:33:00|S8|TEMP|11.2|Sector_A
2024-05-01T00:34:00|S16|TEMP|14.1|Sector_A
2024-05-01T00:35:00|S8|TEMP|49.6|Sector_A
2024-05-01T00:36:00|S10|TEMP|0.0|Sector_A
2024-05-01T00:37:00|S2|VIB|4.7|Sector_A
2024-05-01T00:38:00|S13|TEMP|56.5|Sector_A
2024-05-01T00:39:00|S17|TEMP|48.2|Sector_A
2024-05-01T00:40:00|S2|TEMP|25.0|Sector_A
2024-05-01T00:41:00|S16|TEMP|38.3|Sector_A
2024-05-01T00:42:00|S1|TEMP|38.4|Sector_A
2024-05-01T00:43:00|S13|TEMP|56.6|Sector_A
2024-05-01T00:44:00|S12|TEMP|16.7|Sector_A
